,player_A,player_B,winner,loser
0,5,6,5,6
1,6,0,6,0
2,7,0,7,0
3,5,0,0,5
4,5,7,5,7
5,1,6,6,1
6,7,0,7,0
7,7,2,7,2
8,5,6,5,6
9,7,6,6,7
10,7,5,5,7
11,6,1,1,6
12,6,0,6,0
13,7,6,7,6
14,1,5,5,1
15,4,1,4,1
16,1,3,1,3
17,7,0,7,0
18,1,3,1,3
19,4,3,4,3
20,2,7,7,2
21,2,0,0,2
22,0,1,1,0
23,3,2,2,3
24,2,0,2,0
25,0,5,5,0
26,3,7,3,7
27,0,3,0,3
28,0,6,0,6
29,6,1,1,6
30,3,1,3,1
31,1,4,4,1
32,5,2,2,5
33,7,1,7,1
34,5,2,5,2
35,0,5,5,0
36,7,2,2,7
37,4,0,0,4
38,4,2,4,2
39,1,4,4,1
40,3,1,1,3
41,5,7,5,7
42,4,7,4,7
43,1,3,1,3
44,4,1,4,1
45,1,5,5,1
46,2,0,2,0
47,0,7,0,7
48,0,5,5,0
49,7,5,5,7
50,0,7,0,7
51,2,1,1,2
52,7,0,0,7
53,7,0,0,7
54,0,3,3,0
55,0,3,0,3
56,0,2,0,2
57,6,4,4,6
58,1,7,1,7
59,7,1,1,7
60,6,0,0,6
61,3,5,5,3
62,7,6,7,6
63,0,3,3,0
64,7,1,1,7
65,5,6,5,6
66,3,7,7,3
67,2,1,1,2
68,3,4,4,3
69,6,4,4,6
70,5,7,5,7
71,2,6,2,6
72,3,1,1,3
73,7,1,1,7
74,3,5,5,3
75,3,0,3,0
76,2,6,2,6
77,6,5,5,6
78,6,3,6,3
79,2,3,2,3
80,7,4,7,4
81,2,7,7,2
82,4,0,4,0
83,4,7,4,7
84,2,6,2,6
85,4,7,4,7
86,4,7,4,7
87,3,0,0,3
88,3,1,3,1
89,7,3,3,7
90,0,2,0,2
91,7,0,0,7
92,2,1,2,1
93,1,4,4,1
94,7,5,5,7
95,1,4,1,4
96,2,1,1,2
97,6,0,0,6
98,0,7,0,7
99,3,1,1,3
100,3,6,6,3
101,6,4,4,6
102,1,3,1,3
103,3,1,3,1
104,3,5,3,5
105,6,4,6,4
106,0,4,4,0
107,2,0,2,0
108,1,6,1,6
109,2,1,2,1
110,0,6,6,0
111,5,6,5,6
112,0,1,1,0
113,3,7,3,7
114,0,2,2,0
115,3,4,4,3
116,6,0,0,6
117,3,0,0,3
118,0,3,0,3
119,5,3,5,3
120,5,3,3,5
121,4,5,4,5
122,0,2,2,0
123,3,1,1,3
124,4,2,4,2
125,1,4,4,1
126,3,2,2,3
127,3,5,3,5
128,5,7,5,7
129,4,6,4,6
130,2,3,3,2
131,7,0,0,7
132,1,3,3,1
133,6,1,6,1
134,2,7,2,7
135,5,2,5,2
136,4,6,4,6
137,1,7,7,1
138,3,1,1,3
139,7,2,2,7
140,0,7,0,7
141,4,0,0,4
142,3,6,6,3
143,4,0,0,4
144,6,4,6,4
145,7,4,4,7
146,2,1,2,1
147,6,4,4,6
148,2,1,2,1
149,3,4,4,3
150,0,3,3,0
151,0,3,0,3
152,5,7,5,7
153,4,1,4,1
154,0,3,0,3
155,0,7,0,7
156,5,2,5,2
157,6,3,6,3
158,1,4,4,1
159,2,5,5,2
160,3,6,3,6
161,3,4,4,3
162,6,2,6,2
163,4,3,4,3
164,5,4,4,5
165,3,1,1,3
166,2,3,2,3
167,0,5,5,0
168,0,1,0,1
169,2,6,2,6
170,4,2,4,2
171,4,1,1,4
172,0,6,0,6
173,1,2,1,2
174,7,1,7,1
175,4,2,4,2
176,6,5,5,6
177,2,1,2,1
178,0,7,7,0
179,4,2,4,2
180,2,4,2,4
181,4,0,0,4
182,4,2,4,2
183,0,5,0,5
184,0,1,1,0
185,6,4,6,4
186,0,6,0,6
187,0,2,2,0
188,5,0,0,5
189,6,5,5,6
190,6,3,6,3
191,2,4,4,2
192,2,1,1,2
193,2,4,2,4
194,3,5,3,5
195,6,5,5,6
196,0,4,0,4
197,5,3,5,3
198,2,6,2,6
199,7,6,7,6
200,0,7,7,0
201,6,5,5,6
202,0,1,0,1
203,4,1,1,4
204,6,4,4,6
205,6,3,6,3
206,4,6,6,4
207,7,6,6,7
208,1,6,6,1
209,0,6,0,6
210,6,1,1,6
211,3,0,3,0
212,0,4,4,0
213,5,4,4,5
214,4,2,4,2
215,2,4,4,2
216,4,2,4,2
217,7,4,7,4
218,0,2,2,0
219,7,4,4,7
220,3,6,6,3
221,7,6,6,7
222,3,0,0,3
223,1,6,1,6
224,0,2,0,2
225,0,2,0,2
226,4,7,4,7
227,6,0,0,6
228,5,4,4,5
229,3,2,3,2
230,3,1,1,3
231,1,3,1,3
232,0,1,1,0
233,3,5,5,3
234,2,4,4,2
235,2,3,2,3
236,0,6,0,6
237,5,4,4,5
238,5,7,5,7
239,0,6,0,6
240,2,5,5,2
241,7,6,6,7
242,3,1,1,3
243,7,0,7,0
244,5,0,5,0
245,2,0,0,2
246,2,1,1,2
247,2,5,2,5
248,6,5,5,6
249,1,3,1,3
250,6,3,6,3
251,1,0,1,0
252,7,0,7,0
253,7,0,0,7
254,4,7,7,4
255,3,4,4,3
256,5,7,5,7
257,0,3,0,3
258,4,6,4,6
259,3,7,7,3
260,5,4,5,4
261,4,7,7,4
262,7,0,7,0
263,1,4,1,4
264,2,5,5,2
265,0,1,1,0
266,3,0,3,0
267,6,5,5,6
268,7,6,6,7
269,3,6,6,3
270,2,5,5,2
271,4,5,4,5
272,3,1,1,3
273,6,5,5,6
274,5,2,5,2
275,1,5,1,5
276,5,4,4,5
277,7,5,5,7
278,2,6,6,2
279,5,2,5,2
280,1,2,1,2
281,6,7,6,7
282,5,0,5,0
283,0,1,0,1
284,2,5,5,2
285,7,4,4,7
286,6,1,1,6
287,2,6,2,6
288,5,3,3,5
289,2,3,2,3
290,4,6,4,6
291,7,5,5,7
292,2,4,4,2
293,4,6,4,6
294,6,7,7,6
295,6,4,4,6
296,4,7,4,7
297,7,0,7,0
298,7,1,1,7
299,5,7,5,7
300,0,6,0,6
301,2,4,4,2
302,2,1,1,2
303,3,7,7,3
304,1,5,1,5
305,0,4,4,0
306,6,0,6,0
307,5,7,7,5
308,3,6,6,3
309,4,2,4,2
310,3,7,3,7
311,2,5,5,2
312,6,2,2,6
313,2,4,4,2
314,4,6,4,6
315,7,6,6,7
316,1,3,3,1
317,5,7,5,7
318,0,1,0,1
319,2,6,2,6
320,3,0,0,3
321,6,3,6,3
322,1,5,5,1
323,6,3,6,3
324,2,0,2,0
325,1,6,6,1
326,1,0,1,0
327,4,0,4,0
328,1,4,4,1
329,3,4,4,3
330,2,6,6,2
331,2,5,5,2
332,1,5,5,1
333,0,5,5,0
334,6,2,6,2
335,7,0,0,7
336,2,0,2,0
337,7,6,7,6
338,4,0,4,0
339,3,1,3,1
340,3,5,5,3
341,7,5,5,7
342,5,6,5,6
343,3,5,3,5
344,5,0,5,0
345,0,6,0,6
346,5,6,5,6
347,5,4,5,4
348,5,6,5,6
349,3,1,3,1
350,0,1,1,0
351,5,6,5,6
352,6,1,6,1
353,5,6,5,6
354,7,2,2,7
355,3,0,3,0
356,0,1,0,1
357,4,2,4,2
358,4,6,4,6
359,3,1,1,3
360,2,5,5,2
361,2,0,2,0
362,4,0,4,0
363,7,5,7,5
364,3,1,1,3
365,6,7,7,6
366,4,3,4,3
367,7,5,5,7
368,7,4,4,7
369,5,7,5,7
370,4,7,4,7
371,1,7,1,7
372,2,5,5,2
373,6,1,1,6
374,5,7,5,7
375,4,7,4,7
376,6,4,4,6
377,1,6,1,6
378,7,6,7,6
379,7,5,5,7
380,3,5,5,3
381,1,4,4,1
382,0,2,2,0
383,6,5,6,5
384,3,5,5,3
385,4,2,4,2
386,1,0,1,0
387,3,5,5,3
388,7,0,0,7
389,6,5,5,6
390,7,4,4,7
391,5,2,5,2
392,6,7,7,6
393,1,3,1,3
394,6,0,0,6
395,5,1,5,1
396,1,5,5,1
397,1,3,1,3
398,3,4,4,3
399,1,5,1,5
400,5,0,5,0
401,1,7,7,1
402,5,0,5,0
403,3,6,6,3
404,5,3,5,3
405,5,4,4,5
406,2,0,0,2
407,4,5,4,5
408,2,7,7,2
409,0,6,0,6
410,6,5,6,5
411,6,0,6,0
412,1,5,1,5
413,6,5,5,6
414,4,7,7,4
415,7,5,5,7
416,2,0,2,0
417,6,5,5,6
418,0,2,2,0
419,6,3,3,6
420,4,2,4,2
421,3,1,1,3
422,2,4,4,2
423,2,1,1,2
424,6,7,6,7
425,3,0,3,0
426,6,5,5,6
427,1,2,1,2
428,7,3,7,3
429,6,4,4,6
430,2,1,2,1
431,7,5,5,7
432,3,1,1,3
433,2,6,2,6
434,6,5,5,6
435,6,1,1,6
436,7,2,7,2
437,6,4,4,6
438,4,7,4,7
439,0,5,5,0
440,6,4,4,6
441,3,7,7,3
442,7,5,5,7
443,6,5,5,6
444,7,1,1,7
445,4,6,4,6
446,6,5,6,5
447,5,1,1,5
448,0,1,1,0
449,7,2,2,7
450,5,2,2,5
451,0,1,1,0
452,1,5,1,5
453,7,2,2,7
454,6,4,4,6
455,4,1,1,4
456,3,4,4,3
457,0,6,0,6
458,4,5,4,5
459,6,2,6,2
460,3,7,3,7
461,5,2,2,5
462,5,3,5,3
463,6,1,1,6
464,1,2,2,1
465,4,2,4,2
466,3,1,3,1
467,0,5,0,5
468,2,1,2,1
469,4,0,0,4
470,6,3,3,6
471,6,4,4,6
472,6,7,7,6
473,0,6,6,0
474,5,3,5,3
475,3,2,2,3
476,7,1,1,7
477,3,2,2,3
478,0,4,0,4
479,3,4,4,3
480,5,3,5,3
481,6,0,6,0
482,5,2,5,2
483,1,4,4,1
484,7,6,7,6
485,4,6,4,6
486,2,1,2,1
487,1,6,6,1
488,1,3,1,3
489,7,3,7,3
490,7,3,7,3
491,2,3,2,3
492,4,0,4,0
493,3,7,7,3
494,5,7,5,7
495,4,2,4,2
496,7,5,5,7
